Time,TPS,Response time,Response time standard deviation
2180,13969,13918.666666666666,13516.493333333332
2190,14947,13089.0,8356.323333333334
2200,14325,13447.333333333334,8482.75
2210,12475,15667.0,21967.210000000003
2220,14782,12931.333333333334,12592.586666666668
2230,13230,15083.333333333334,17974.233333333334
2240,13052,14677.333333333334,15367.046666666667
2250,14257,13581.0,11568.606666666667
2260,13598,14186.666666666666,11845.863333333335
2270,14355,13619.333333333334,9625.693333333335
2280,14535,13272.333333333334,8888.586666666666
2290,13430,13136.0,8384.713333333333
2300,12878,16410.666666666668,29371.61666666667
2310,14875,13019.333333333334,9496.723333333333
2320,14455,13335.0,8350.17
2330,14955,13016.666666666666,11081.666666666666
2340,15008,12897.333333333334,8954.133333333333
2350,15411,12529.0,7557.876666666667
2360,13117,13816.666666666666,8574.18
2370,14307,14233.666666666666,18468.896666666667
2380,12232,16306.666666666666,23897.76
2390,13842,13086.666666666666,9554.076666666668
2400,13757,14849.0,16269.646666666667
2410,13917,13912.666666666666,9288.713333333333
2420,12524,15508.0,15508.150000000001
2430,13240,14681.0,16876.153333333335
2440,14373,13557.666666666666,9845.88
2450,12526,16667.333333333332,28781.483333333337
2460,15419,12552.0,8196.913333333334
2470,13456,14059.666666666666,10835.303333333333
2480,14311,14158.333333333334,10894.1
2490,13829,14082.666666666666,11651.06
2500,13316,14528.666666666666,9075.596666666666
2510,11447,21466.0,47823.583333333336
2520,15137,12754.333333333334,7967.113333333334
2530,13898,13308.0,10168.223333333333
2540,14658,13908.333333333334,14994.866666666667
2550,14426,13421.333333333334,15552.146666666667
2560,13012,14950.666666666666,16267.276666666667
2570,13446,14514.0,11468.446666666669
2580,13521,14588.0,16901.22333333333
2590,14656,13113.333333333334,8549.233333333332
2600,14872,13071.333333333334,7789.096666666667
2610,13179,15512.333333333334,21375.056666666667
2620,14447,13369.666666666666,8725.083333333334
2630,13401,14659.0,11094.57
2640,14728,13140.0,7728.406666666667
2650,14152,13513.333333333334,7903.856666666667
2660,10750,22445.333333333332,48457.58666666667
2670,14616,13179.333333333334,9215.210000000001
2680,15737,12401.666666666666,6820.106666666667
2690,12587,15448.333333333334,15644.909999999998
2700,15431,12518.333333333334,8021.016666666666
2710,12932,15011.666666666666,14956.126666666665
2720,13665,14129.333333333334,12794.106666666667
2730,14590,13166.0,8300.223333333333
2740,12053,15086.333333333334,17285.363333333335
2750,13542,14969.333333333334,19212.976666666666
2760,10555,21669.666666666668,52616.11666666667
2770,15822,12028.333333333334,6396.376666666667
2780,13606,14311.333333333334,11758.533333333333
2790,13758,14207.0,11620.486666666666
2800,13616,14314.666666666666,10685.929999999998
2810,12553,14462.666666666666,8030.860000000001
2820,11745,18962.666666666668,43714.17333333333
2830,15751,12224.666666666666,8080.0
2840,14776,13102.666666666666,9620.733333333332
2850,13617,14249.666666666666,15220.450000000003
2860,14457,13412.333333333334,11477.636666666667
2870,13518,14273.333333333334,13374.393333333333
2880,13778,14184.333333333334,16209.956666666667
2890,14423,12676.333333333334,6991.920000000001
2900,13271,15260.0,19246.573333333334
2910,12644,19046.666666666668,42023.47
2920,13009,16022.0,20055.333333333332
2930,14890,13026.0,10401.396666666667
2940,14947,12848.0,8131.133333333334
2950,14310,13386.333333333334,9456.203333333333
2960,14081,13926.0,8537.576666666666
2970,13091,14734.666666666666,13285.036666666667
2980,13915,14190.0,11594.083333333334
2990,14065,13756.333333333334,11502.156666666668
3000,13727,14043.333333333334,17143.820000000003
3010,14938,12955.666666666666,7211.350000000001
3020,14330,13528.0,8271.906666666668
3030,13258,14328.0,19223.936666666665
3040,14928,13408.333333333334,11156.18
3050,13013,15438.666666666666,18495.39
3060,12528,13915.666666666666,13717.226666666667
3070,13663,16837.333333333332,34825.90666666667
3080,15247,12675.333333333334,7065.286666666667
3090,13384,14673.0,15237.123333333331
3100,14081,13850.333333333334,9654.126666666665
3110,14090,13748.0,11240.413333333332
3120,12837,14993.666666666666,11639.543333333333
3130,13578,14343.333333333334,14924.023333333336
3140,12908,14807.0,17716.903333333332
3150,14785,13296.333333333334,12128.176666666666
3160,14383,13371.0,11012.786666666667
3170,13974,14079.333333333334,10379.85
3180,14310,13356.333333333334,8530.453333333333
3190,12942,15308.0,20488.040000000005
3200,14874,13142.0,7914.4766666666665
3210,15198,12634.333333333334,6846.600000000001
3220,14363,13573.333333333334,8878.300000000001
3230,14808,12991.666666666666,9244.633333333333
3240,14216,13803.666666666666,11681.64
3250,13699,14042.0,9450.0
3260,13029,15300.666666666666,18905.679999999997
3270,14132,13316.0,7283.990000000001
3280,11897,16813.666666666668,19121.196666666667
3290,13667,14151.0,13452.133333333331
3300,13377,14564.333333333334,15450.86
3310,14310,13498.666666666666,12508.663333333332
3320,13591,14357.333333333334,11290.019999999999
3330,13169,14964.666666666666,16508.323333333334
3340,14531,13287.0,9794.210000000001
3350,14604,13335.666666666666,11913.58
3360,13218,13635.333333333334,8568.246666666668
3370,14186,14511.666666666666,15095.840000000002
3380,15111,12794.0,10055.783333333335
3390,14679,13180.333333333334,9327.0
