Time,TPS,Responsetime,Responsetimestandarddeviation
710,13801,13978.0,11643.093333333332
720,14105,13667.333333333334,11495.313333333334
730,13197,14647.666666666666,18644.976666666666
740,13676,14111.333333333334,15476.88
750,13551,14242.333333333334,14444.676666666666
760,13144,14659.666666666666,12953.556666666665
770,13352,14421.0,19004.343333333334
780,13257,14558.333333333334,14689.92
790,14396,13371.666666666666,8827.976666666667
800,13818,13969.666666666666,14525.573333333334
810,14534,13264.666666666666,9947.02
820,13841,13910.666666666666,10470.153333333334
830,14102,13659.0,9679.343333333332
840,13627,14160.0,10360.243333333332
850,13943,13826.333333333334,9467.88
860,14321,13464.0,8446.926666666666
870,14951,12864.0,7895.75
880,14700,13141.666666666666,8782.729999999998
890,14451,13335.333333333334,10567.289999999999
900,12973,14854.333333333334,18186.346666666668
910,13949,13821.0,10964.583333333334
920,13999,13762.666666666666,11287.586666666664
930,13915,13881.666666666666,10939.923333333332
940,13812,13954.0,9621.173333333334
950,13726,14063.0,12521.053333333335
960,13305,14528.333333333334,15402.49
970,12903,14937.0,13028.353333333333
980,13426,14394.333333333334,12764.553333333335
990,13857,13946.333333333334,15340.333333333334
1000,13978,13817.0,12089.053333333331
1010,14396,13411.0,9969.203333333333
1020,13457,14343.333333333334,16507.653333333332
1030,14315,13471.0,9482.793333333333
1040,13763,14020.333333333334,13906.816666666668
1050,14765,13032.0,10624.103333333334
1060,14226,13583.0,11036.730000000001
1070,13362,14408.666666666666,12965.683333333334
1080,13907,13875.0,15617.283333333333
1090,13601,14170.0,11360.976666666667
1100,14507,13298.666666666666,9112.906666666668
1110,13483,14314.0,13381.616666666667
1120,13574,14214.0,14972.086666666668
1130,14050,13742.666666666666,8664.650000000001
1140,13523,14212.0,14457.396666666667
1150,13951,13905.666666666666,13741.236666666666
1160,14751,13085.666666666666,9507.633333333333
1170,15379,12527.333333333334,8229.050000000001
1180,14086,13739.666666666666,12675.550000000001
1190,14012,13771.666666666666,12319.896666666667
1200,13850,13944.0,10744.796666666667
1210,13587,14208.333333333334,12231.37
1220,14505,13285.0,8999.053333333333
1230,14173,13608.666666666666,12193.113333333333
1240,13073,14764.0,20217.81333333333
1250,14115,13670.666666666666,14636.053333333335
1260,13806,13961.333333333334,11961.956666666667
1270,14298,13468.0,9827.089999999998
1280,13843,13969.666666666666,15090.556666666665
1290,14093,13674.333333333334,10712.133333333333
1300,14795,13036.333333333334,10164.413333333332
1310,14022,13746.0,10412.36
1320,14837,12986.0,9975.106666666667
1330,14519,13292.333333333334,11452.706666666665
1340,14014,13759.0,13084.083333333334
1350,13717,14031.333333333334,10544.663333333332
1360,13131,14696.666666666666,12609.786666666667
1370,13125,14696.333333333334,11798.963333333333
1380,13210,14600.0,13562.826666666666
1390,13971,13756.333333333334,10083.78
1400,13654,14166.666666666666,12535.243333333332
1410,14047,13733.333333333334,10355.926666666666
1420,14071,13721.0,10950.076666666668
1430,13546,14254.333333333334,11034.236666666666
1440,12653,15246.333333333334,24799.61333333333
1450,13569,14230.666666666666,14086.686666666666
1460,14405,13402.666666666666,9561.81
1470,13335,14492.666666666666,20269.81
1480,13620,14191.333333333334,13006.220000000001
1490,13676,14137.333333333334,10912.46
1500,14167,13650.333333333334,10058.943333333335
1510,13680,14063.0,12877.063333333334
1520,13558,14320.0,13928.463333333333
1530,13593,14204.666666666666,23307.45
1540,13801,14000.666666666666,16891.156666666666
1550,14726,13134.666666666666,9583.946666666667
1560,13376,14310.333333333334,15044.276666666667
1570,14180,13775.0,14963.0
1580,13136,14702.0,13824.300000000001
1590,12856,15010.0,31480.070000000003
1600,13539,14249.666666666666,12607.723333333333
1610,13575,14225.0,10773.213333333333
1620,13544,14243.666666666666,13478.763333333334
1630,13631,14162.333333333334,12465.61
1640,14068,13723.0,11953.023333333333
1650,13565,14225.0,12400.43
1660,14087,13699.666666666666,9904.243333333332
1670,14128,13659.0,11964.460000000001
1680,14010,13782.666666666666,12320.576666666666
1690,13702,14083.0,11966.043333333333
1700,13487,14319.0,12754.216666666667
1710,13351,14403.666666666666,15726.31
1720,13956,13878.666666666666,15639.146666666667
1730,14317,13482.333333333334,10669.220000000001
1740,13542,14272.666666666666,15314.813333333334
1750,13663,14128.666666666666,14008.26
1760,14578,13236.666666666666,9243.003333333332
1770,13793,13966.333333333334,13041.613333333333
1780,13997,13814.333333333334,9986.9
1790,13978,13815.333333333334,10438.503333333332
1800,13572,14218.333333333334,9369.503333333334
1810,13299,14506.333333333334,10018.253333333332
1820,13147,14658.0,13227.843333333332
1830,14047,13717.333333333334,9926.906666666666
1840,13314,14494.333333333334,15295.12
1850,14518,13275.0,9291.6
1860,13378,14413.333333333334,11735.633333333333
1870,14239,13533.333333333334,11035.233333333332
1880,12473,15436.666666666666,30577.329999999998
1890,13420,14464.0,20559.546666666665
1900,13670,14112.0,11494.913333333332
1910,12859,14989.0,10892.056666666665
1920,13242,14552.666666666666,9658.563333333334
1930,13715,14025.0,9068.183333333332
1940,13840,13973.666666666666,11950.333333333334
1950,14313,13486.666666666666,10321.5
1960,14217,13576.666666666666,16875.403333333332
1970,14541,13288.0,11742.88
1980,14479,13361.333333333334,12065.876666666669
1990,14505,13292.666666666666,11141.763333333334
2000,15017,12836.666666666666,8313.686666666666
2010,14158,13613.666666666666,10572.136666666667
2020,14115,13668.0,12780.566666666666
2030,13976,13798.333333333334,13920.019999999999
2040,14506,13283.333333333334,11361.176666666666
2050,14391,13393.0,10461.633333333333
2060,13742,14028.0,13209.62
2070,13216,14583.666666666666,13339.673333333332
2080,13418,14342.333333333334,13287.26
2090,13143,14689.666666666666,13474.876666666669
2100,12815,15086.666666666666,12394.383333333333
2110,13318,14454.666666666666,14448.210000000001
2120,13248,14572.333333333334,15114.936666666666
2130,13866,13889.333333333334,11999.916666666666
2140,13062,14768.333333333334,13552.076666666666
2150,13318,14484.0,12491.066666666666
2160,13462,14316.0,21593.693333333333
2170,14102,13680.0,13546.336666666664
2180,13391,14391.0,13437.79
2190,13326,14470.0,12602.296666666667
2200,13480,14297.666666666666,10760.2
2210,13528,14256.333333333334,10161.363333333333
2220,12665,15210.666666666666,11240.94
2230,13092,14737.0,21158.343333333334
2240,13461,14316.666666666666,12348.46
2250,13917,13894.333333333334,12870.983333333332
2260,13575,14207.333333333334,14340.970000000001
2270,14367,13444.333333333334,11196.053333333335
2280,13982,13643.666666666666,10555.699999999999
2290,13988,13894.666666666666,16353.883333333333
2300,13702,14107.333333333334,12106.660000000002
2310,13497,14282.333333333334,12177.213333333333
2320,13634,14143.333333333334,11993.970000000001
2330,14097,13684.0,10326.426666666666
2340,13782,13992.666666666666,13852.116666666669
2350,14300,13488.666666666666,15031.483333333332
2360,13782,13985.333333333334,11408.730000000001
2370,13543,14235.0,12442.75
2380,13453,14344.666666666666,12672.016666666668
2390,13317,14472.666666666666,13959.32
2400,12817,15040.333333333334,18057.143333333333
2410,13491,14287.0,14769.936666666666
2420,13853,13914.666666666666,10347.199999999999
2430,14058,13697.666666666666,11352.083333333334
2440,14048,13736.333333333334,12717.793333333335
2450,14048,13720.333333333334,11526.266666666668
2460,14441,13342.666666666666,10024.456666666665
2470,14388,13401.666666666666,12205.856666666667
2480,13973,13794.333333333334,10391.823333333334
2490,14104,13666.666666666666,12416.216666666667
2500,14222,13555.666666666666,10722.613333333333
2510,13899,13876.0,11476.286666666667
2520,13006,14806.333333333334,31689.683333333334
2530,14092,13689.333333333334,11646.49
2540,14184,13584.666666666666,12173.199999999999
2550,13941,13817.0,11764.099999999999
2560,12942,14915.333333333334,14583.246666666666
2570,13555,14175.333333333334,13363.786666666667
2580,14236,13580.666666666666,12227.96
2590,13109,14702.666666666666,17885.583333333332
2600,13864,13895.666666666666,9725.59
2610,13163,14633.666666666666,16015.993333333332
2620,14066,13719.333333333334,15606.243333333334
2630,14475,13330.0,10067.140000000001
2640,13951,13841.666666666666,11363.396666666667
2650,14201,13593.666666666666,13616.053333333335
2660,14320,13471.333333333334,11189.17
2670,14054,13739.333333333334,13251.436666666666
2680,14466,13338.0,8577.146666666667
2690,13390,14312.0,14765.243333333332
